x,y,simtime,communication_radius,"max_vehicle_communication",id
1498.87,847.16,6.572,100.0,15.0,1
1457.38,1043.5,6.572,100.0,15.0,204c
583.69,854.5,6.784,100.0,15.0,9
323.63,227.57,6.784,100.0,15.0,12
977.75,829.69,6.784,100.0,15.0,52
1425.56,1082.94,6.784,100.0,15.0,78
768.63,816.34,6.784,100.0,15.0,53
1470.88,1073.94,6.784,100.0,15.0,44
778.0,613.44,6.784,100.0,15.0,82
1573.69,569.0,6.784,100.0,15.0,27
1504.51,825.41,6.784,100.0,15.0,1c
798.63,778.69,6.784,100.0,15.0,15
1489.07,825.69,6.784,100.0,15.0,3
1579.38,473.19,6.784,100.0,15.0,34
874.28,625.54,6.784,100.0,15.0,63
1485.04,841.29,6.784,100.0,15.0,1b
1498.87,847.16,6.784,100.0,15.0,1
1457.38,1043.5,6.784,100.0,15.0,204c
583.69,854.5,6.996,100.0,15.0,9
323.63,227.57,6.996,100.0,15.0,12
977.75,829.69,6.996,100.0,15.0,52
1425.56,1082.94,6.996,100.0,15.0,78
768.63,816.34,6.996,100.0,15.0,53
1470.88,1073.94,6.996,100.0,15.0,44
778.0,613.44,6.996,100.0,15.0,82
1573.69,569.0,6.996,100.0,15.0,27
1504.51,825.41,6.996,100.0,15.0,1c
798.63,778.69,6.996,100.0,15.0,15
1489.07,825.69,6.996,100.0,15.0,3
1579.38,473.19,6.996,100.0,15.0,34
874.28,625.54,6.996,100.0,15.0,63
1485.04,841.29,6.996,100.0,15.0,1b
1498.87,847.16,6.996,100.0,15.0,1
1457.38,1043.5,6.996,100.0,15.0,204c
583.69,854.5,7.208,100.0,15.0,9
323.63,227.57,7.208,100.0,15.0,12
977.75,829.69,7.208,100.0,15.0,52
1425.56,1082.94,7.208,100.0,15.0,78
768.63,816.34,7.208,100.0,15.0,53
1470.88,1073.94,7.208,100.0,15.0,44
778.0,613.44,7.208,100.0,15.0,82
1573.69,569.0,7.208,100.0,15.0,27
1504.51,825.41,7.208,100.0,15.0,1c
798.63,778.69,7.208,100.0,15.0,15
1489.07,825.69,7.208,100.0,15.0,3
1579.38,473.19,7.208,100.0,15.0,34
874.28,625.54,7.208,100.0,15.0,63
1485.04,841.29,7.208,100.0,15.0,1b
