App_Name,EndTime,"IoTDeviceBatteryConsumption",IoTDeviceDrained,SimulationTime,StartTime,TotalCloudLetSizes,TotalEdgeLetSizes,TotalIoTGeneratedData,TotalMELGeneratedData,appTotalRunningTime
App_103,119.77383,14.260000000000133,No,82.46183,37.312,200,250,1,70,82.46183
App_104,117.56022,14.260000000000133,No,80.24822,37.312,200,250,1,70,80.24822
App_105,64.62276,12.220000000000113,No,27.310760000000002,37.312,200,250,1,70,27.310760000000002
App_106,87.86445000000005,18.340000000000174,No,50.55245000000005,37.312,200,250,1,70,50.55245000000005
App_107,65.58037,19.360000000000184,No,28.268370000000004,37.312,200,250,1,70,28.268370000000004
App_108,64.92133999999997,14.260000000000133,No,27.609339999999975,37.312,200,250,1,70,27.609339999999975
App_109,87.55855000000003,14.260000000000133,No,50.24655000000003,37.312,200,250,1,70,50.24655000000003
App_110,114.9005,16.31000000000016,No,77.3765,37.524,200,250,1,70,77.3765
App_111,114.96683999999999,16.31000000000016,No,77.44283999999999,37.524,200,250,1,70,77.44283999999999
App_112,119.52045999999999,14.270000000000138,No,81.99645999999998,37.524,200,250,1,70,81.99645999999998
App_113,87.92045000000005,20.3900000000002,No,50.396450000000044,37.524,200,250,1,70,50.396450000000044
App_114,88.26734000000002,21.41000000000021,No,50.74334000000002,37.524,200,250,1,70,50.74334000000002
App_115,114.9005,16.31000000000016,No,77.3765,37.524,200,250,1,70,77.3765
App_116,89.11341000000003,16.31000000000016,No,51.58941000000003,37.524,200,250,1,70,51.58941000000003
App_117,119.58783000000004,16.300000000000153,No,81.85183000000004,37.736,200,250,1,70,81.85183000000004
App_118,119.45732000000002,16.300000000000153,No,81.72132000000002,37.736,200,250,1,70,81.72132000000002
App_119,119.28741999999998,14.260000000000133,No,81.55141999999998,37.736,200,250,1,70,81.55141999999998
App_120,89.11026000000003,20.380000000000194,No,51.37426000000003,37.736,200,250,1,70,51.37426000000003
App_121,90.27096000000002,21.400000000000205,No,52.53496000000002,37.736,200,250,1,70,52.53496000000002
App_122,119.56873999999999,16.300000000000153,No,81.83274,37.736,200,250,1,70,81.83274
App_123,89.00226000000002,16.300000000000153,No,51.266260000000024,37.736,200,250,1,70,51.266260000000024
App_124,118.64865999999996,18.35000000000018,No,80.70065999999997,37.948,200,250,1,70,80.70065999999997
App_125,119.15183000000002,18.35000000000018,No,81.20383000000001,37.948,200,250,1,70,81.20383000000001
App_126,115.6485,16.31000000000016,No,77.7005,37.948,200,250,1,70,77.7005
App_127,91.04678000000003,22.43000000000022,No,53.098780000000026,37.948,200,250,1,70,53.098780000000026
App_128,88.75306000000003,23.45000000000023,No,50.80506000000003,37.948,200,250,1,70,50.80506000000003
App_129,119.69383,18.35000000000018,No,81.74583000000001,37.948,200,250,1,70,81.74583000000001
App_130,89.51078000000004,18.35000000000018,No,51.56278000000004,37.948,200,250,1,70,51.56278000000004
App_131,116.14532000000001,18.340000000000174,No,77.98532000000002,38.16,200,250,1,70,77.98532000000002
App_132,117.09829999999997,18.340000000000174,No,78.93829999999997,38.16,200,250,1,70,78.93829999999997
App_133,120.29983000000004,16.300000000000153,No,82.13983000000005,38.16,200,250,1,70,82.13983000000005
App_134,90.05734000000007,22.420000000000215,No,51.89734000000007,38.16,200,250,1,70,51.89734000000007
