appID,appName,appStartTime,cloudDatacenterName,cloudDcId,dataRate,edgeDatacenterName,edgeDcId,endTime,"ioTDeviceBatteryConsumption",ioTDeviceBatteryStatus,ioTDeviceId,ioTDeviceName,ioTDeviceOutputSize,isIoTDeviceDied,melId,melname,meloutputSize,osmesisCloudletSize,osmesisEdgeletSize,startDataGenerationTime,stopDataGenerationTime,vmCloudId,vmName,workflowId
84,App_84,36.676,Cloud_1,4,1.0,,0,0.0,12.230000000000118,No,110,id_4,1,false,-1,@9,70,200,250,36.676,37.676,0,VM_5,1
85,App_85,36.676,Cloud_1,4,1.0,,0,0.0,16.31000000000016,No,113,id_1,1,false,-1,@44,70,200,250,36.676,37.676,0,VM_6,1
86,App_86,36.676,Cloud_1,4,1.0,,0,0.0,17.33000000000017,No,114,id_0,1,false,-1,@34,70,200,250,36.676,37.676,0,VM_7,1
87,App_87,36.676,Cloud_1,4,1.0,,0,0.0,12.230000000000118,No,115,id_3,1,false,-1,@34,70,200,250,36.676,37.676,0,VM_8,1
88,App_88,36.676,Cloud_1,4,1.0,,0,0.0,12.230000000000118,No,116,id_2,1,false,-1,@44,70,200,250,36.676,37.676,0,VM_9,1
89,App_89,36.888,Cloud_1,4,1.0,,0,0.0,12.220000000000113,No,109,id_5,1,false,-1,@9,70,200,250,36.888,37.888,0,VM_10,1
90,App_90,36.888,Cloud_1,4,1.0,,0,0.0,12.220000000000113,No,110,id_4,1,false,-1,@9,70,200,250,36.888,37.888,0,VM_1,1
91,App_91,36.888,Cloud_1,4,1.0,,0,0.0,10.190000000000097,No,112,id_6,1,false,-1,@34,70,200,250,36.888,37.888,0,VM_2,1
92,App_92,36.888,Cloud_1,4,1.0,,0,0.0,16.300000000000153,No,113,id_1,1,false,-1,@44,70,200,250,36.888,37.888,0,VM_3,1
93,App_93,36.888,Cloud_1,4,1.0,,0,0.0,17.320000000000164,No,114,id_0,1,false,-1,@34,70,200,250,36.888,37.888,0,VM_4,1
94,App_94,36.888,Cloud_1,4,1.0,,0,0.0,12.220000000000113,No,115,id_3,1,false,-1,@34,70,200,250,36.888,37.888,0,VM_5,1
95,App_95,36.888,Cloud_1,4,1.0,,0,0.0,12.220000000000113,No,116,id_2,1,false,-1,@44,70,200,250,36.888,37.888,0,VM_6,1
96,App_96,37.1,Cloud_1,4,1.0,,0,0.0,14.270000000000138,No,109,id_5,1,false,-1,@9,70,200,250,37.1,38.1,0,VM_7,1
97,App_97,37.1,Cloud_1,4,1.0,,0,0.0,14.270000000000138,No,110,id_4,1,false,-1,@9,70,200,250,37.1,38.1,0,VM_8,1
98,App_98,37.1,Cloud_1,4,1.0,,0,0.0,12.230000000000118,No,112,id_6,1,false,-1,@34,70,200,250,37.1,38.1,0,VM_9,1
99,App_99,37.1,Cloud_1,4,1.0,,0,0.0,18.35000000000018,No,113,id_1,1,false,-1,@44,70,200,250,37.1,38.1,0,VM_10,1
100,App_100,37.1,Cloud_1,4,1.0,,0,0.0,19.37000000000019,No,114,id_0,1,false,-1,@34,70,200,250,37.1,38.1,0,VM_1,1
101,App_101,37.1,Cloud_1,4,1.0,,0,0.0,14.270000000000138,No,115,id_3,1,false,-1,@34,70,200,250,37.1,38.1,0,VM_2,1
102,App_102,37.1,Cloud_1,4,1.0,,0,0.0,14.270000000000138,No,116,id_2,1,false,-1,@44,70,200,250,37.1,38.1,0,VM_3,1
103,App_103,37.312,Cloud_1,4,1.0,,0,0.0,14.260000000000133,No,109,id_5,1,false,-1,@9,70,200,250,37.312,38.312,0,VM_4,1
104,App_104,37.312,Cloud_1,4,1.0,,0,0.0,14.260000000000133,No,110,id_4,1,false,-1,@9,70,200,250,37.312,38.312,0,VM_5,1
105,App_105,37.312,Cloud_1,4,1.0,,0,0.0,12.220000000000113,No,112,id_6,1,false,-1,@34,70,200,250,37.312,38.312,0,VM_6,1
106,App_106,37.312,Cloud_1,4,1.0,,0,0.0,18.340000000000174,No,113,id_1,1,false,-1,@44,70,200,250,37.312,38.312,0,VM_7,1
107,App_107,37.312,Cloud_1,4,1.0,,0,0.0,19.360000000000184,No,114,id_0,1,false,-1,@34,70,200,250,37.312,38.312,0,VM_8,1
108,App_108,37.312,Cloud_1,4,1.0,,0,0.0,14.260000000000133,No,115,id_3,1,false,-1,@34,70,200,250,37.312,38.312,0,VM_9,1
109,App_109,37.312,Cloud_1,4,1.0,,0,0.0,14.260000000000133,No,116,id_2,1,false,-1,@44,70,200,250,37.312,38.312,0,VM_10,1
110,App_110,37.524,Cloud_1,4,1.0,,0,0.0,16.31000000000016,No,109,id_5,1,false,-1,@9,70,200,250,37.524,38.524,0,VM_1,1
111,App_111,37.524,Cloud_1,4,1.0,,0,0.0,16.31000000000016,No,110,id_4,1,false,-1,@9,70,200,250,37.524,38.524,0,VM_2,1
112,App_112,37.524,Cloud_1,4,1.0,,0,0.0,14.270000000000138,No,112,id_6,1,false,-1,@9,70,200,250,37.524,38.524,0,VM_3,1
113,App_113,37.524,Cloud_1,4,1.0,,0,0.0,20.3900000000002,No,113,id_1,1,false,-1,@44,70,200,250,37.524,38.524,0,VM_4,1
